phase,model,epoch,train_accuracy,val_accuracy
before,ShallowMLP,1,0.814621409921671,0.8402777777777778
before,ShallowMLP,2,0.8642297650130548,0.875
before,ShallowMLP,3,0.9016536118363795,0.8888888888888888
before,ShallowMLP,4,0.9321148825065274,0.9340277777777778
before,ShallowMLP,5,0.9469103568320278,0.9513888888888888
before,ShallowMLP,6,0.9573542210617929,0.9583333333333334
before,ShallowMLP,7,0.9634464751958225,0.9618055555555556
before,ShallowMLP,8,0.9660574412532638,0.96875
before,ShallowMLP,9,0.9704090513489991,0.9652777777777778
before,ShallowMLP,10,0.9704090513489991,0.9652777777777778
before,DeepMLP,1,0.8189730200174065,0.7986111111111112
before,DeepMLP,2,0.9025239338555265,0.9097222222222222
before,DeepMLP,3,0.9373368146214099,0.9375
before,DeepMLP,4,0.95822454308094,0.9513888888888888
before,DeepMLP,5,0.9765013054830287,0.96875
before,DeepMLP,6,0.9860748476936466,0.9652777777777778
before,DeepMLP,7,0.9782419495213229,0.9618055555555556
before,DeepMLP,8,0.9808529155787642,0.9652777777777778
before,DeepMLP,9,0.9817232375979112,0.9652777777777778
before,DeepMLP,10,0.9921671018276762,0.96875
after,ShallowMLP,1,0.834638816362054,0.8368055555555556
after,ShallowMLP,2,0.896431679721497,0.8993055555555556
after,ShallowMLP,3,0.9234116623150566,0.9340277777777778
after,ShallowMLP,4,0.9460400348128808,0.9444444444444444
after,ShallowMLP,5,0.9617058311575283,0.9583333333333334
after,ShallowMLP,6,0.9704090513489991,0.9618055555555556
after,ShallowMLP,7,0.9825935596170583,0.9618055555555556
after,ShallowMLP,8,0.9843342036553525,0.96875
after,ShallowMLP,9,0.9869451697127938,0.9652777777777778
after,ShallowMLP,10,0.9869451697127938,0.9652777777777778
after,DeepMLP,1,0.7980852915578764,0.8090277777777778
after,DeepMLP,2,0.8885987815491732,0.9201388888888888
after,DeepMLP,3,0.9477806788511749,0.9513888888888888
after,DeepMLP,4,0.9625761531766753,0.9479166666666666
after,DeepMLP,5,0.97911227154047,0.9618055555555556
after,DeepMLP,6,0.9756309834638817,0.9756944444444444
after,DeepMLP,7,0.9817232375979112,0.9722222222222222
after,DeepMLP,8,0.9782419495213229,0.9652777777777778
after,DeepMLP,9,0.9843342036553525,0.9548611111111112
after,DeepMLP,10,0.9895561357702349,0.9583333333333334
