model,case_id,tool,parse_ok,schema_ok,argument_accuracy,latency_ms,errors
qwen2.5:32b-instruct-q4_K_M,C01,route_ticket,True,True,0.5,3212.39,
qwen2.5:32b-instruct-q4_K_M,C02,route_ticket,True,True,0.5,2984.41,
qwen2.5:32b-instruct-q4_K_M,C03,policy_gate,True,True,0.5,3693.42,
qwen2.5:32b-instruct-q4_K_M,C04,policy_gate,True,True,0.5,3888.5,
qwen2.5:32b-instruct-q4_K_M,C05,extract_geo_request,True,True,0.5,3015.48,
qwen2.5:32b-instruct-q4_K_M,C06,extract_geo_request,True,True,0.5,3072.62,
qwen2.5:32b-instruct-q4_K_M,C07,risk_score,True,True,0.0,4083.45,
qwen2.5:32b-instruct-q4_K_M,C08,risk_score,True,True,0.5,4512.5,
qwen2.5:32b-instruct-q4_K_M,C09,tool_args_validator,True,True,1.0,3294.87,
qwen2.5:32b-instruct-q4_K_M,C10,tool_args_validator,True,True,1.0,3356.54,
qwen2.5:32b-instruct-q8_0,C01,route_ticket,True,True,1.0,2062.92,
qwen2.5:32b-instruct-q8_0,C02,route_ticket,True,True,1.0,2048.95,
qwen2.5:32b-instruct-q8_0,C03,policy_gate,True,True,1.0,2024.53,
qwen2.5:32b-instruct-q8_0,C04,policy_gate,True,True,1.0,2014.81,
qwen2.5:32b-instruct-q8_0,C05,extract_geo_request,True,True,1.0,2029.1,
qwen2.5:32b-instruct-q8_0,C06,extract_geo_request,True,True,1.0,2059.42,
qwen2.5:32b-instruct-q8_0,C07,risk_score,True,True,1.0,2048.48,
qwen2.5:32b-instruct-q8_0,C08,risk_score,True,True,1.0,2042.16,
qwen2.5:32b-instruct-q8_0,C09,tool_args_validator,True,True,1.0,2028.27,
qwen2.5:32b-instruct-q8_0,C10,tool_args_validator,True,True,1.0,2045.42,
